iter	RMSE
299	0.7759943963
300	0.7754938726
301	0.7751822764
302	0.7741804915
303	0.7731393147
304	0.7723742426
305	0.7715537863
306	0.7707108154
307	0.7699576836
308	0.7693905001
309	0.7686909322
310	0.7679554782
311	0.7677731482
312	0.767300653
313	0.7666588425
314	0.7659447064
315	0.7655163376
316	0.7648283323
317	0.7636766784
318	0.7632968442
319	0.7627038412
320	0.7625406884
321	0.7619331794
322	0.7608952747
323	0.7599498903
324	0.7594629396
325	0.7589087165
326	0.7580425514
327	0.7566965388
328	0.7556490078
329	0.7550606603
330	0.7543353412
331	0.7537474337
332	0.7534158309
333	0.7527279427
334	0.752145637
335	0.7518675172
336	0.7513334431
337	0.7504249113
338	0.7499242643
339	0.7494337138
340	0.7487561941
341	0.7482383731
342	0.7474437122
343	0.7469035871
344	0.7460634297
345	0.7456893489
346	0.7450720884
347	0.7449244305
348	0.7445353359
349	0.7443916595
350	0.7439093434
351	0.7429268328
352	0.7412875948
353	0.7411058101
354	0.740572279
355	0.7402097602
356	0.7396462482
357	0.7396138225
358	0.7389219572
359	0.738740461
360	0.7371183061
361	0.7361682946
362	0.7350965458
363	0.7345336728
364	0.733001715
365	0.7319912206
366	0.731555135
367	0.7304644879
368	0.728797606
369	0.7275781511
370	0.7269204526
371	0.7260302568
372	0.7254018775
373	0.7249274546
374	0.7246508852
375	0.724624591
376	0.7239659998
377	0.7228483869
378	0.7225831907
379	0.7220590939
380	0.7216811241
381	0.7210822071
382	0.7203949501
383	0.7199645632
384	0.7197029829
385	0.7190844452
386	0.7185238861
387	0.7176539507
388	0.7168842587
389	0.716091321
390	0.7155088957
391	0.7145897294
392	0.7135750182
393	0.7130511467
394	0.712417114
395	0.7117262156
396	0.7108154723
397	0.7100477614
398	0.7097662943
399	0.7097258917
400	0.7095055517
401	0.7090062031
402	0.7089926586
403	0.7084485418
404	0.7074103792
405	0.7068665181
406	0.7065382473
407	0.7061527688
408	0.7059014113
409	0.7051670722
410	0.7051542463
411	0.7043444937
412	0.7040141186
413	0.7028621406
414	0.7021934331
415	0.7016010601
416	0.7011403414
417	0.7010021572
418	0.6999737312
419	0.6993199909
420	0.6985791006
421	0.6984526178
422	0.6977455663
423	0.6966480591
424	0.6961064946
425	0.6955585163
426	0.6951949694
427	0.6947326393
428	0.6946407193
429	0.6934887027
430	0.6924198224
431	0.6915993844
432	0.6915500644
433	0.691529857
434	0.6910956761
435	0.6908168666
436	0.6902223089
437	0.6896975184
438	0.6896444374
439	0.6891716999
440	0.6888478553
441	0.6885398399
442	0.6882802514
443	0.6874737678
444	0.6869775596
445	0.686453698
446	0.6858787201
447	0.68507777
448	0.6842228643
449	0.6837869757
450	0.6837365574
451	0.6833750712
452	0.6831260464
453	0.6829576621
454	0.682738097
455	0.6816130579
456	0.6813350839
457	0.6806824152
458	0.6804379785
459	0.6798999442
460	0.6793930102
461	0.6793291731
462	0.6787242972
463	0.6781775916
464	0.6773587232
465	0.6770108618
466	0.6766339563
467	0.6757386595
468	0.6755050973
469	0.6741546514
470	0.6738397753
471	0.6732701961
472	0.6728811708
473	0.6725246278
474	0.6717566925
475	0.6716624801
476	0.6715928563
477	0.6711186435
478	0.6702334596
479	0.669534045
480	0.6683156486
481	0.6674310907
482	0.6667700176
483	0.6664863371
484	0.6661594303
485	0.6656605463
486	0.6655155192
487	0.6650831489
488	0.6648710159
489	0.6645037012
490	0.6641134904
491	0.6635269594
492	0.6628849808
493	0.6626056734
494	0.6621370769
495	0.6616409947
496	0.6614083205
497	0.6606558567
498	0.6604647855
499	0.6600468601
500	0.6596382574
501	0.659633712
502	0.6589022383
503	0.6583098934
504	0.6576562933
505	0.6574109914
506	0.6570456741
507	0.6564142671
508	0.6556596401
509	0.6550177892
510	0.654654553
511	0.6542799957
512	0.6536684267
513	0.6527814478
514	0.6518661151
515	0.651446404
516	0.6505111823
517	0.6504511457
518	0.6497328123
519	0.6493957387
520	0.6490318423
521	0.648705337
522	0.6486984031
523	0.6483433552
524	0.6480418367
525	0.6479857631
526	0.6477842166
527	0.6476457804
528	0.6476375961
529	0.647474779
530	0.647071385
531	0.6465835325
532	0.6455033005
533	0.6448417905
534	0.644465748
535	0.6440983769
536	0.6438066547
537	0.64356714
538	0.6433887304
539	0.6428286059
540	0.6425093611
541	0.6421172635
542	0.641973481
543	0.6413309284
544	0.6408332985
545	0.6405851585
546	0.6396856689
547	0.6386611487
548	0.6380248491
549	0.6372287607
550	0.6370221586
551	0.6364145732
552	0.6360087733
553	0.6356532115
554	0.634877276
555	0.6346909309
556	0.6345710814
557	0.6341486401
558	0.6336634144
559	0.6331924508
560	0.6324661728
561	0.6323199134
562	0.6323063982
563	0.6322086506
564	0.6317385623
565	0.6314750242
566	0.6311801752
567	0.631167165
568	0.6306680175
569	0.6297472996
570	0.6291895542
571	0.6287638249
572	0.6282642284
573	0.627820813
574	0.6277237496
575	0.6277199588
576	0.6272143827
577	0.6268668981
578	0.6262377632
579	0.6262122194
580	0.6254688612
581	0.6249101946
582	0.6243709337
583	0.6241980552
584	0.6239699262
585	0.6231747443
586	0.6229122591
587	0.6225206521
588	0.6219696534
589	0.6215162444
590	0.6211711215
591	0.6208747327
592	0.6206849587
593	0.6199619473
594	0.6199569027
595	0.6196062767
596	0.619178658
597	0.6190961341
598	0.6187446508
599	0.6183915031
600	0.6179518678
601	0.6174162035
602	0.6174139969
603	0.6172478821
604	0.6170228186
605	0.6166677606
606	0.6161395448
607	0.615241735
608	0.6144615448
609	0.6140872137
610	0.6136765296
611	0.6134059655
612	0.612919012
613	0.6128433873
614	0.6126521551
615	0.6125124306
616	0.6117524188
617	0.6111847051
618	0.6108148021
619	0.6104575852
620	0.609844753
621	0.6090658617
622	0.6087151815
623	0.6079521111
624	0.6076351881
625	0.6073354123
626	0.6072934485
627	0.6065525069
628	0.6057264898
629	0.605372278
630	0.6052528674
631	0.6050003873
632	0.6048086522
633	0.6044768484
634	0.6041803532
635	0.6039446987
636	0.603553658
637	0.6032310339
638	0.6028601685
639	0.6024283602
640	0.6023840543
641	0.6023808986
642	0.6020447973
643	0.6017455564
644	0.6013489973
645	0.6012650871
646	0.6008522274
647	0.6004045214
648	0.6002648546
649	0.6000106512
650	0.5998863452
651	0.599014867
652	0.5985751929
653	0.5983413589
654	0.5977955455
655	0.5977370026
656	0.597261532
657	0.5968355404
658	0.5963735774
659	0.5960772977
660	0.5949125415
661	0.594619426
662	0.5937861348
663	0.5934719041
664	0.5931951813
665	0.5929014904
666	0.592065928
667	0.5915358818
668	0.5914148995
669	0.5914080496
670	0.5903913379
671	0.5902354212
672	0.5896930299
673	0.5896848656
674	0.5894231293
675	0.5893415711
676	0.5893357282
677	0.5890631326
678	0.5887607394
679	0.5879290677
680	0.5879248312
681	0.587536821
682	0.5872413146
683	0.5871200459
684	0.5868866824
685	0.5861708898
686	0.585735211
687	0.5857204419
688	0.5854666541
689	0.5849138887
690	0.5845536363
691	0.5840845919
692	0.5837127185
693	0.5836060912
694	0.5831164325
695	0.5829256871
696	0.5821610503
697	0.5818255621
698	0.5817572071
699	0.5813732628
700	0.5806121224
701	0.5802758415
702	0.579990076
703	0.5796771437
704	0.5794354459
705	0.5792315502
706	0.5789519506
707	0.5788914493
708	0.5785971743
709	0.5782614808
710	0.577678109
711	0.5776757732
712	0.5774555745
713	0.5770928535
714	0.5767888953
715	0.5762977792
716	0.575877245
717	0.575731917
718	0.5754627911
719	0.5752068801
720	0.5745303944
721	0.5741409776
722	0.5733382638
723	0.5730830443
724	0.5730170828
725	0.5728412282
726	0.5727502789
727	0.5723405201
728	0.5718070659
729	0.5716984062
730	0.5714063127
731	0.571114831
732	0.5710066228
733	0.5705610797
734	0.5698757005
735	0.5697513708
736	0.5692355781
737	0.5685527085
738	0.5680004551
739	0.5678653342
740	0.5674646581
741	0.5670062923
742	0.5668497575
743	0.5666330774
744	0.5662592871
745	0.5658658258
746	0.5656066977
747	0.5652262418
748	0.565029663
749	0.5642632123
750	0.5636559421
751	0.5633152402
752	0.5631311227
753	0.5628115544
754	0.5622578145
755	0.562031974
756	0.5611662442
757	0.5608247794
758	0.5603433418
759	0.559918202
760	0.5595707478
761	0.5592051875
762	0.5590199752
763	0.5585663881
764	0.5582868124
765	0.558016449
766	0.5574553612
767	0.5573590865
768	0.557196478
769	0.5571365799
770	0.5570209635
771	0.5567675552
772	0.5562729509
773	0.5561472133
774	0.5558829926
775	0.5557143792
776	0.5556325844
777	0.5552813715
778	0.554362578
779	0.5535382134
780	0.5532272928
781	0.552806239
782	0.5524541984
783	0.5522744842
784	0.5517609272
785	0.5516062104
786	0.5512433483
787	0.551016995
788	0.5505086995
789	0.5503737143
790	0.5500139877
791	0.5497314188
792	0.5493301865
793	0.5490529732
794	0.5488219693
795	0.5486459235
796	0.5482296357
797	0.5480089648
798	0.5477872272
799	0.5470907249
